"SESBLOG_PLUGIN";"Advanced Blog Plugin"
"ACTIVITY_TYPE_LIKED_BLOG";"When someone comments on a Blog entry I liked."
"ACTIVITY_TYPE_LIKE_BLOG";"When someone likes one of my Blog entries."
"ACTIVITY_TYPE_BLOG_NEW";"When a new Blog entry is posted."
"ACTIVITY_TYPE_BLOG_SUBSCRIBED_NEW";"When a new Blog entry is posted by a member you have subscribed to."
"{item:$subject} wrote a new blog entry:";"{item:$subject} wrote a new Blog entry:"
"{item:$subject} commented on {item:$owner}'s {item:$object:blog entry}: {body:$body}";"{item:$subject} commented on {item:$owner}'s {item:$object:Blog entry}: {body:$body}"
"ITEM_TYPE_BLOG";"Blog Entries"
"{item:$subject} has posted a new blog entry: {item:$object}.";"{item:$subject} has posted a new Blog entry: {item:$object}."
"Recent Entries";"Recent Entries"
"Tags";"Tags"
"_EMAIL_NOTIFY_SESBLOG_SUBSCRIBED_NEW_TITLE";"Blog Subscription"
"_EMAIL_NOTIFY_SESBLOG_SUBSCRIBED_NEW_DESCRIPTION";"This email is sent to someone when a Blog entry is posted by a member to whom they have subscribed."
"_EMAIL_NOTIFY_SESBLOG_SUBSCRIBED_NEW_SUBJECT";"[sender_title] posted a new Blog entry: [object_title]"
"_EMAIL_NOTIFY_SESBLOG_SUBSCRIBED_NEW_BODY";"[header]

[sender_title] has posted a new Blog entry: [object_title].
Please click the following link to view it:

http://[host][object_link]

[footer]"
"_EMAIL_SESBLOG_BLOG_OWNER_CLAIM_TITLE";"SES - Advanced Blog - Claim Request to Blog Owner"
"_EMAIL_SESBLOG_BLOG_OWNER_CLAIM_DESCRIPTION";"This email is sent to the Blog owner when a member claim their Blog."
"_EMAIL_SESBLOG_BLOG_OWNER_CLAIM_SUBJECT";"A member has claimed your Blog."
"_EMAIL_SESBLOG_BLOG_OWNER_CLAIM_BODY";"[header]

[sender_title] has sent you a message using the Claim For Blog page:"
"_EMAIL_SESBLOG_SITE_OWNER_FOR_CLAIM_TITLE";"SES - Advanced Blog - Claim Request to Site Owner"
"_EMAIL_SESBLOG_SITE_OWNER_FOR_CLAIM_DESCRIPTION";"This email is sent to site owners to take action on claim request for Blog."
"_EMAIL_SESBLOG_SITE_OWNER_FOR_CLAIM_SUBJECT";"A member has claimed a Blog."
"_EMAIL_SESBLOG_SITE_OWNER_FOR_CLAIM_BODY";"[header]

[sender_title] has sent you a message to take action on the claim request for Blog:

[message]

[footer]"
"_EMAIL_SESBLOG_CLAIM_OWNER_APPROVE_TITLE";"SES - Advanced Blog - Claim Approval to Blog Owner"
"_EMAIL_SESBLOG_CLAIM_OWNER_APPROVE_DESCRIPTION";"This email is sent to the Blog owner when site admin approve the claim request of Blog."
"_EMAIL_SESBLOG_CLAIM_OWNER_APPROVE_SUBJECT";"Site owner has approved your claim request for the Blog."
"_EMAIL_SESBLOG_CLAIM_OWNER_APPROVE_BODY";"[header]

[sender_title] has sent you a message for approval of the claim:

[message]

[footer]"
"_EMAIL_SESBLOG_BLOG_OWNER_APPROVE_TITLE";"SES - Advanced Blog - Claim Approval to Blog Owner"
"_EMAIL_SESBLOG_BLOG_OWNER_APPROVE_DESCRIPTION";"This email is sent to the Blog owner when site admin approve the claim request of Blog."
"_EMAIL_SESBLOG_BLOG_OWNER_APPROVE_SUBJECT";"Site owner has approved your claim request for the Blog."
"_EMAIL_SESBLOG_BLOG_OWNER_APPROVE_BODY";"[header]

[sender_title] has sent you a message for approval of the claim:

[message]

[footer]"
"_EMAIL_SESBLOG_CLAIM_OWNER_REQUEST_CANCEL_TITLE";"SES - Advanced Blog - Claim Rejection to Claimer"
"_EMAIL_SESBLOG_CLAIM_OWNER_REQUEST_CANCEL_DESCRIPTION";"This email is sent to the claimer when site admin rejects the claim request of Blog."
"_EMAIL_SESBLOG_CLAIM_OWNER_REQUEST_CANCEL_SUBJECT";"Site owner has rejected your claim request for the Blog."
"_EMAIL_SESBLOG_CLAIM_OWNER_REQUEST_CANCEL_BODY";"[header]

[sender_title] has sent you a message for rejection of the claim:

[message]

[footer]"
"Blog Home";"Blog Home"
"Browse Blogs";"Browse Blogs"
"My Blogs";"My Blogs"
"Write New Blog";"Write New Blog"
"Blogs";"Blogs"
"Everyone's Blogs";"Everyone's Blogs"
"Only My Friend's Blogs";"Only My Friend's Blogs"
"Blog Reviews";"Blog Reviews"
"Blog Schedule date is in the past. Please enter an blog scheduled date greater than or equal to today's date.";"Blog Schedule date is in the past. Please enter an Blog scheduled date greater than or equal to today's date."
"Share This Blog";"Share This Blog"
"Blogs Home";"Blogs Home"
"Recent Blogs";"Recent Blogs"
"Popular Blogs";"Popular Blogs"
"Recommend Blog";"Recommend Blog"
"Blogs Created";"Blogs Created"
"Verified Blog";"Verified Blog"
"Most Commented Blogs";"Most Commented Blogs"
"Blog of the Day";"Blog of the Day"
"Most Favourite Blogs";"Most Favourite Blogs"
"Most Read Blogs";"Most Read Blogs"
"%s BLOG";"%s BLOG";"%s BLOGS"
"Sponsored Blog Posts";"Sponsored Blog Posts."
"_ACTIVITY_ACTIONTYPE_COMMENT_SESBLOG";"Comments on your Blogs."
"_ACTIVITY_ACTIONTYPE_SESBLOG_BLOG_FAVOURITE";"Marking Blogs as favorite."
"_ACTIVITY_ACTIONTYPE_SESBLOG_BLOG_LIKE";"Liking Blog."
"_ACTIVITY_ACTIONTYPE_SESBLOG_ALBUM_LIKE";"Liking Blog photo."
"_ACTIVITY_ACTIONTYPE_SESBLOG_PHOTO_LIKE";"Liking Blog album photo."
"ACTIVITY_TYPE_SESBLOG_ACCEPTADMINRE";"When admin approve your request for a new blog."
"ACTIVITY_TYPE_SESBLOG_BLOGADMIN";"When admin created a new blog."
"ACTIVITY_TYPE_SESBLOG_REJESTADMINRE";"When admin rejected your request for a new blog."
"_ACTIVITY_ACTIONTYPE_SESBLOG_NEW";"New Blog enteries."
"ACTIVITY_TYPE_SESBLOG_CLAIM_APPROVE";"When your claim for a Blog is approved."
"ACTIVITY_TYPE_SESBLOG_CLAIM_DECLINED";"When your claim for a Blog is declined."
"ACTIVITY_TYPE_SESBLOG_OWNER_INFORMED";"When someone's claim on your Blog is approved."
